run_at,column_name,business_name,definition,calculation_logic,unit,owner,dimension,is_business_key,datasets,sf_type,null_pct_avg,distinct_count,documentation_status
2026-06-05 16:17 UTC,MENSAJE,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,93.31,5,TO BE DEFINED
2026-06-05 16:17 UTC,CLAIM_CTA,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,97.09,336,TO BE DEFINED
2026-06-05 16:17 UTC,PRODUCTOS,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,94.46,726,TO BE DEFINED
2026-06-05 16:17 UTC,HERO_PRODUCTO,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,94.53,405,TO BE DEFINED
2026-06-05 16:17 UTC,UPC,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,94.66,49,TO BE DEFINED
2026-06-05 16:17 UTC,DBAS_Y_N,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,97.1,3,TO BE DEFINED
2026-06-05 16:17 UTC,VALUE_ATTRIBUTE,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,99.26,105,TO BE DEFINED
2026-06-05 16:17 UTC,VALUE_TYPE,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,99.32,26,TO BE DEFINED
2026-06-05 16:17 UTC,CVR,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,FLOAT,98.37,51,TO BE DEFINED
2026-06-05 16:17 UTC,CPI,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,FLOAT,93.62,565,TO BE DEFINED
2026-06-05 16:17 UTC,"""IMPR_(ABS.TOP)_%""",[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,FLOAT,100.0,1,TO BE DEFINED
2026-06-05 16:17 UTC,"""IMPR_(TOP)""",[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,FLOAT,100.0,1,TO BE DEFINED
2026-06-05 16:17 UTC,SKU,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_WASTE,TEXT,0.0,1421,TO BE DEFINED
2026-06-05 16:17 UTC,DESCRIPCION,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_WASTE,TEXT,0.0,2287,TO BE DEFINED
2026-06-05 16:17 UTC,TIPO_PRODUCTO,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_WASTE,TEXT,0.06,16,TO BE DEFINED
2026-06-05 16:17 UTC,PROYECTO,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_WASTE,TEXT,0.52,585,TO BE DEFINED
2026-06-05 16:17 UTC,CANAL,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_WASTE,TEXT,0.0,4,TO BE DEFINED
2026-06-05 16:17 UTC,"""Waste ($)""",[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_WASTE,DoubleType(),19.49,508463,TO BE DEFINED
2026-06-05 16:17 UTC,"""Waste (KG)""",[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_WASTE,DoubleType(),19.51,86333,TO BE DEFINED
2026-06-05 16:17 UTC,START_TIME,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,StringType(),45.31,124851,TO BE DEFINED
2026-06-05 16:17 UTC,END_TIME,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,StringType(),45.33,127051,TO BE DEFINED
2026-06-05 16:17 UTC,SECTOR,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,StringType(),0.33,5,TO BE DEFINED
2026-06-05 16:17 UTC,CLASE,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,StringType(),0.33,35,TO BE DEFINED
2026-06-05 16:17 UTC,AGENCIA,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,StringType(),9.61,16,TO BE DEFINED
2026-06-05 16:17 UTC,SUBMARCA,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,StringType(),0.26,294,TO BE DEFINED
2026-06-05 16:17 UTC,TIPO_SPOT,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,StringType(),0.09,34,TO BE DEFINED
2026-06-05 16:17 UTC,VERSION,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,StringType(),0.28,1216,TO BE DEFINED
2026-06-05 16:17 UTC,FRANJA_HORARIA,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,StringType(),61.13,7,TO BE DEFINED
2026-06-05 16:17 UTC,PROGRAMA,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,StringType(),45.32,10711,TO BE DEFINED
2026-06-05 16:17 UTC,TIPOLOGIA,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,StringType(),82.97,19,TO BE DEFINED
2026-06-05 16:17 UTC,POSICION,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,StringType(),82.96,8,TO BE DEFINED
2026-06-05 16:17 UTC,DURACION,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,StringType(),0.1,199,TO BE DEFINED
2026-06-05 16:17 UTC,INSERCION,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,DoubleType(),12.89,5,TO BE DEFINED
2026-06-05 16:17 UTC,INV_PUBLICADA,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,DoubleType(),0.36,46390,TO BE DEFINED
2026-06-05 16:17 UTC,DESCUENTO,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,DoubleType(),15.17,32,TO BE DEFINED
2026-06-05 16:17 UTC,INV_DEFLACTADA,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,DoubleType(),32.19,45457,TO BE DEFINED
2026-06-05 16:17 UTC,IMPACTOS_HT,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,DoubleType(),18.99,111779,TO BE DEFINED
2026-06-05 16:17 UTC,GRPS_HT,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_OFF,DoubleType(),6.11,1736,TO BE DEFINED
