MRKT_DSC_SHRT,NIELSEN_SOURCE_TABLE,REVIEW_STATUS
Total Autos Queretaro,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Torreon,PB_NIELSEN,NEEDS_REVIEW
Total Autos Cd. Del Carmen_MT,PB_NIELSEN,NEEDS_REVIEW
Moderno Guadalajara_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
TRADICIONAL MONTERREY,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Scanning Leon,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Poza Rica,PB_NIELSEN,NEEDS_REVIEW
TRADICIONAL VDM,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total Area III_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total Autos Tuxtla Gutierrez,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Guadalajara,EDP_NIELSEN,NEEDS_REVIEW
Total _Area 2,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Irapuato,PB_NIELSEN,NEEDS_REVIEW
Total Autos Leon,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Surtido Completo Area 6_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total Autos Tijuana,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Reynosa,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Merida,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Surt. Esencial Area 4,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Area 5,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Queretaro,PB_NIELSEN,NEEDS_REVIEW
Total Autos La Paz,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Minatitlan,PB_NIELSEN,NEEDS_REVIEW
Total Autos Tapachula,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Veracruz,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Puebla,PB_NIELSEN,NEEDS_REVIEW
Total Autos Mazatlan,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Orizaba,PB_NIELSEN,NEEDS_REVIEW
TRADICIONAL AREA IV,WATER_NIELSEN_RIE,NEEDS_REVIEW
Proximidad Guadalajara_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
TRADICIONAL JUAREZ,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Scanning Monterrey,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Piedras Negras,PB_NIELSEN,NEEDS_REVIEW
Total _Area 6,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Minatitlan,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Area 1,PB_NIELSEN,NEEDS_REVIEW
Total Autos Area 2,PB_NIELSEN,NEEDS_REVIEW
Autoservicios San Luis Potosi,EDP_NIELSEN,NEEDS_REVIEW
C. Moderno Area 1_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
TOTAL AUTOS SCANNING MEXICO,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Mayoristas Area 4,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Surtido Extendido_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total Autos Cd. Valles,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Cozumel,PB_NIELSEN,NEEDS_REVIEW
Total Autos Jalapa,PB_NIELSEN,NEEDS_REVIEW
Grandes Cadenas De Autoservicio_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
TDC + Farmacias Cad + Hard Discounters Area 2,EDP_NIELSEN,NEEDS_REVIEW
TRADICIONAL MEXICO PEQUENAS,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Mayoristas Total Mexico,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Guadalajara Zona 3,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Merida,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Durango,PB_NIELSEN,NEEDS_REVIEW
T. Pais Mexico_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total Area VI_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Scanning Cuernavaca,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Surtido Completo Area 3_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Canal Moderno Area 6.1 Peninsula,EDP_NIELSEN,NEEDS_REVIEW
TRADICIONAL GUADALAJARA,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total Autos Tecate_MT,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Surt. Esencial Area 3,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Tepic,PB_NIELSEN,NEEDS_REVIEW
TRADICIONAL MORELIA,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Ahome,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Baja California,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Tuxtla Gutierrez,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Xalapa,PB_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Veracruz,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Morelia,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Durango,PB_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Monterrey,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Area 3,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Tampico,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Surtido Extendido Area 5_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
C. Moderno Area 3_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Puebla,EDP_NIELSEN,NEEDS_REVIEW
