SHP_CUS_IDT,CUS_IDT,CUS_GRN_CHL_DSC,CUS_NAM_DSC,CLI_CUS_ACC_GRP_COD,CLI_CUS_CHL_DSC,CLI_CUS_IND_COD,CLI_CUS_IND_DSC,CLI_CUS_1ST_IND_COD,CLI_CUS_1ST_IND_DSC,CLI_CUS_2ND_IND_COD,CLI_CUS_2ND_IND_DSC,CLI_CUS_3RD_IND_COD,CLI_CUS_3RD_IND_DSC,FACT_ROWS
752682184,752682184,UTT,4546 SC ZACATECAS,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,134835
752680914,752680914,UTT,3788 BA PUEBLA MARGARITA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,134706
752681140,752681140,UTT,5711 BA SAN PABLO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,134016
752681040,752681040,UTT,3892 BA AV CENTRAL,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,133506
752682168,752682168,UTT,5749 SC PLAZA DE TOROS,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,133257
752681465,752681465,UTT,3744 BA OJO CALIENTE,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,132639
752681267,752681267,UTT,2009 BA ACCESO NORTE,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,131745
752680924,752680924,UTT,3770 BA PANTITLAN,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,131682
752682029,752682029,UTT,2643 SC NICOLAS ROMERO TOWN CENTER,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,131346
752682216,752682216,UTT,5791 SC ZINACANTEPEC,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,131160
752681148,752681148,UTT,5734 BA MOROLEON,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,130857
752680980,752680980,UTT,3755 BA TACUBAYA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,130839
752680994,752680994,UTT,3780 BA ATEMAJAC,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,130494
752682083,752682083,UTT,1683 SC VICENTE GUERRERO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,130155
752682061,752682061,UTT,3357 SC IRAPUATO SUR,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,130146
752680993,752680993,UTT,3781 BA INDEPENDENCIA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,130053
752680961,752680961,UTT,3786 BA SANTA FE,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,129975
752681151,752681151,UTT,5736 BA CARDENAS,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,129888
752680937,752680937,UTT,3774 BA FERROCARRIL HIDALGO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,129315
752682033,752682033,UTT,2384 SC CANCUN LABNA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,129162
752681178,752681178,UTT,5798 BA SANTA MARGARITA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,129069
752681160,752681160,UTT,5770 BA ZUMPANGO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,128634
752681201,752681201,UTT,1019 BA SAN PEDRITO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,128442
752681469,752681469,UTT,2098 BA TANGAMANGA SAUCITO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,128295
752681149,752681149,UTT,5740 BA BELISARIO DOMINGUEZ,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,128136
752681039,752681039,UTT,3891 BA LOS REYES,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,127704
752681165,752681165,UTT,5851 BA CONSTITUCION,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,127320
752682094,752682094,UTT,4191 SC LAGO DE GPE,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,127224
752682037,752682037,UTT,1460 SC CUEMANCO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,126978
752682127,752682127,UTT,4012 SC JARDINES DEL SOL,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,126777
752680809,752680809,DTT,CADENA COMERCIAL EXPENDIOS,Z001,SOCIOS COMERCIALES,ZMXX,SOCIOS COMERCIALES,ZMX03,555-Distribuidor,#,#,#,#,126741
752682180,752682180,UTT,1195 SC GALERIAS LAS TORRES,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,126441
752680938,752680938,UTT,3791 BA FUENTES DEL VAL,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,126306
752681064,752681064,UTT,3887 BA RIO VERDE SLP,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,126207
752682220,752682220,UTT,5727 SC JIUTEPEC,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,126192
752682270,752682270,UTT,3821 WMEX LINDAVISTA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,126111
752682031,752682031,UTT,3503 SC ECATEPEC CENTRO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,125922
752682022,752682022,UTT,1770 SC VASCO DE QUIROGA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,125838
752681981,752681981,UTT,2284 SC COFADRIAS,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,125697
752680917,752680917,UTT,3869 BA CUERNAVACA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,125502
752681138,752681138,UTT,3733 BA SATELITE,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,125139
752681975,752681975,UTT,1513 SC PORTAL CENTRO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,124740
752681989,752681989,UTT,3848 SC TAXQUENA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,124431
752682172,752682172,UTT,2091 SC EL SAUZ,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,123834
752682067,752682067,UTT,1834 SC PLAZA DEL LAGO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,123438
752682158,752682158,UTT,1171 SC TECAMAC SAN JOSE,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,122991
