mrkt_dsc_shrt,mrkt_dsc_shrt_norm,market_key,canal_std,canal_lvl1,canal_lvl2,agg_level,region_type,region_std,region_detail,is_total_mexico,is_scanning,source_cbu,promoted,confirmation_status,notes
Autoservicios Scanning Oaxaca,AUTOSERVICIOS SCANNING OAXACA,75266414eef8ea53,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,OAXACA,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Acapulco,AUTOSERVICIOS SCANNING ACAPULCO,23eeef46873d295c,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,ACAPULCO,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Cozumel,AUTOSERVICIOS SCANNING COZUMEL,1fca5c2a682a52b7,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,COZUMEL,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Minatitlan,AUTOSERVICIOS SCANNING MINATITLAN,0fbe1abf129193cb,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,MINATITLAN,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning La Paz,AUTOSERVICIOS SCANNING LA PAZ,533beb79d96269bb,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,LA PAZ,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Playa del Carmen,AUTOSERVICIOS SCANNING PLAYA DEL CARMEN,e8af6ba1a08df216,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,PLAYA DEL CARMEN,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Surt. Completo Area 1,AUTOSERVICIOS SURT. COMPLETO AREA 1,e03d3c690474fc3c,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_1,,NO,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Scanning Piedras Negras,AUTOSERVICIOS SCANNING PIEDRAS NEGRAS,ecfb8a7aedb96f78,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,PIEDRAS NEGRAS,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Surt. Completo Area 4,AUTOSERVICIOS SURT. COMPLETO AREA 4,a3762cb222bf98b8,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_4,,NO,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Scanning Villahermosa,AUTOSERVICIOS SCANNING VILLAHERMOSA,b691155445fedb8d,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,VILLAHERMOSA,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Ensenada,AUTOSERVICIOS SCANNING ENSENADA,b57ef7b01deaefa7,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,ENSENADA,,NO,YES,PB,YES,CONFIRMED,
