"""market_id""",MRKT_DSC_SHRT,"""hierarchy_level""","""hierarchy_number""","""hierarchy_name""","""hierarchy_column""",nielsen_source_cbu,mrkt_key,canal_std_m1,region_std_m1,mapping_status,channel_standard,gran_canal_grp,chain_standard,format_standard,canal_std,region_std
20239213,Autoservicios Scanning Nogales,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING NOGALES,AUTOSERVICIO_SCANNING,NOGALES,CONFIRMED,MODERNO,UTT,,,MODERNO,NOGALES
20239160,Autoservicios Scanning Nuevo Laredo,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING NUEVO LAREDO,AUTOSERVICIO_SCANNING,NUEVO LAREDO,CONFIRMED,MODERNO,UTT,,,MODERNO,NUEVO LAREDO
20239249,Autoservicios Scanning Oaxaca,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING OAXACA,AUTOSERVICIO_SCANNING,OAXACA,CONFIRMED,MODERNO,UTT,,,MODERNO,OAXACA
20239250,Autoservicios Scanning Orizaba,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING ORIZABA,AUTOSERVICIO_SCANNING,ORIZABA,CONFIRMED,MODERNO,UTT,,,MODERNO,ORIZABA
20239262,Autoservicios Scanning Piedras Negras,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING PIEDRAS NEGRAS,AUTOSERVICIO_SCANNING,PIEDRAS NEGRAS,CONFIRMED,MODERNO,UTT,,,MODERNO,PIEDRAS NEGRAS
20239251,Autoservicios Scanning Playa del Carmen,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING PLAYA DEL CARMEN,AUTOSERVICIO_SCANNING,PLAYA DEL CARMEN,CONFIRMED,MODERNO,UTT,,,MODERNO,PLAYA DEL CARMEN
20239283,Autoservicios Scanning Poza Rica,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING POZA RICA,AUTOSERVICIO_SCANNING,POZA RICA,CONFIRMED,MODERNO,UTT,,,MODERNO,POZA RICA
20239284,Autoservicios Scanning Puebla,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING PUEBLA,AUTOSERVICIO_SCANNING,PUEBLA,CONFIRMED,MODERNO,UTT,,,MODERNO,PUEBLA
20239227,Autoservicios Scanning Puerto Vallarta,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING PUERTO VALLARTA,AUTOSERVICIO_SCANNING,PUERTO VALLARTA,CONFIRMED,MODERNO,UTT,,,MODERNO,PUERTO VALLARTA
20239215,Autoservicios Scanning Queretaro,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING QUERETARO,AUTOSERVICIO_SCANNING,QUERETARO,CONFIRMED,MODERNO,UTT,,,MODERNO,QUERETARO
20239264,Autoservicios Scanning Reynosa,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING REYNOSA,AUTOSERVICIO_SCANNING,REYNOSA,CONFIRMED,MODERNO,UTT,,,MODERNO,REYNOSA
20239282,Autoservicios Scanning Saltillo,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING SALTILLO,AUTOSERVICIO_SCANNING,SALTILLO,CONFIRMED,MODERNO,UTT,,,MODERNO,SALTILLO
20243230,Autoservicios Scanning San Andres Tuxtla,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING SAN ANDRES TUXTLA,AUTOSERVICIO_SCANNING,SAN ANDRES TUXTLA,CONFIRMED,MODERNO,UTT,,,MODERNO,SAN ANDRES TUXTLA
20239161,Autoservicios Scanning San Luis Potosi,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING SAN LUIS POTOSI,AUTOSERVICIO_SCANNING,SAN LUIS POTOSI,CONFIRMED,MODERNO,UTT,,,MODERNO,SAN LUIS POTOSI
