column_name,row_count,value
PXY_CAT_1ST_COD,43465.000000000000000000,9
PXY_CAT_1ST_COD,34619.000000000000000000,3
PXY_CAT_1ST_COD,23986.000000000000000000,
PXY_CAT_1ST_COD,18970.000000000000000000,ZMXMOB
PXY_CAT_1ST_DSC,2975476.000000000000000000,PLATA
PXY_CAT_1ST_DSC,1448876.000000000000000000,N/A
PXY_CAT_1ST_DSC,1054067.000000000000000000,BRONCE
PXY_CAT_1ST_DSC,572614.000000000000000000,ORO
PXY_CAT_1ST_DSC,178173.000000000000000000,LOYALTY HOGAR
PXY_CAT_1ST_DSC,140045.000000000000000000,ESPECIAL
PXY_CAT_1ST_DSC,138797.000000000000000000,DIAMANTE
PXY_CAT_1ST_DSC,128566.000000000000000000,HOME
PXY_CAT_1ST_DSC,78563.000000000000000000,NEW COMERS
PXY_CAT_1ST_DSC,78439.000000000000000000,SALMON
PXY_CAT_1ST_DSC,64081.000000000000000000,TEMPORALES HOGAR
PXY_CAT_1ST_DSC,48710.000000000000000000,AFH ORG
PXY_CAT_1ST_DSC,47289.000000000000000000,HORECA
PXY_CAT_1ST_DSC,43465.000000000000000000,TOP HOGAR
PXY_CAT_1ST_DSC,24139.000000000000000000,
PXY_CAT_1ST_DSC,18970.000000000000000000,MOBILITE
PXY_CAT_1ST_DSC,14710.000000000000000000,CLUSTER CREDITO
PXY_CAT_1ST_DSC,9350.000000000000000000,CALLE A
PXY_CAT_1ST_DSC,6234.000000000000000000,AFH IND
PXY_CAT_1ST_DSC,4332.000000000000000000,ESPECIALES  HOGAR
CLU_SHT_DSC,2975476.000000000000000000,PLATA
CLU_SHT_DSC,1448876.000000000000000000,N/A
CLU_SHT_DSC,1054067.000000000000000000,BRONCE
CLU_SHT_DSC,572614.000000000000000000,ORO
CLU_SHT_DSC,178173.000000000000000000,LOYALTY
CLU_SHT_DSC,140045.000000000000000000,ESPECIAL
CLU_SHT_DSC,138797.000000000000000000,DIAMANTE
CLU_SHT_DSC,128566.000000000000000000,HOME
CLU_SHT_DSC,78563.000000000000000000,NEW COMERS
CLU_SHT_DSC,78439.000000000000000000,SALMON
CLU_SHT_DSC,64081.000000000000000000,TEMPORALES
CLU_SHT_DSC,48710.000000000000000000,AFH ORG
CLU_SHT_DSC,47289.000000000000000000,HORECA
CLU_SHT_DSC,43465.000000000000000000,TOP HOGAR
CLU_SHT_DSC,24139.000000000000000000,
CLU_SHT_DSC,18970.000000000000000000,MOBILITE
CLU_SHT_DSC,14710.000000000000000000,CLUSTER CREDITO
CLU_SHT_DSC,9350.000000000000000000,CALLE A
CLU_SHT_DSC,6234.000000000000000000,AFH IND
CLU_SHT_DSC,4332.000000000000000000,ESPECIALES
CUS_ABC_CLS_COD,2087025.000000000000000000,
CUS_ABC_CLS_COD,1285437.000000000000000000,#
CUS_ABC_CLS_COD,830211.000000000000000000,3
CUS_ABC_CLS_COD,758395.000000000000000000,E
CUS_ABC_CLS_COD,590965.000000000000000000,D
CUS_ABC_CLS_COD,299906.000000000000000000,B
CUS_ABC_CLS_COD,261086.000000000000000000,P
