cardinality_class,column_name,distinct_values,null_count,total_count
TOO_GRANULAR,CUS_ADR_STR_TOP_1ST_DSC,526358.000000000000000000,544219.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_ADR_STR_TOP_2ND_DSC,449367.000000000000000000,605625.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_BIL_BLK_COD,4.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_DEL_BLK_COD,5.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_ORD_BLK_COD,6.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_DLT_FLG,2.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_SAL_BIL_BLK_COD,7.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_SAL_DEL_BLK_COD,6.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_SAL_DLT_FLG,2.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_SAL_ORD_BLK_COD,6.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,LV4_HIE_CUS_IDT,300.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,LV4_HIE_CUS_DSC,255.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,LV5_HIE_CUS_IDT,24031.000000000000000000,2044487.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,LV5_HIE_CUS_DSC,16299.000000000000000000,2045049.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,LV6_HIE_CUS_IDT,31898.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,LV6_HIE_CUS_DSC,23532.000000000000000000,2979539.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PTR_1ST_CUS_IDT,2886287.000000000000000000,2131248.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PTR_1ST_CUS_DSC,855867.000000000000000000,2146746.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PTR_2ND_CUS_IDT,2891743.000000000000000000,2131248.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PTR_3RD_CUS_IDT,766.000000000000000000,2131248.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PTR_4TH_CUS_IDT,914.000000000000000000,2131248.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PTR_4TH_CUS_DSC,837.000000000000000000,5724415.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PTR_5TH_CUS_IDT,21017.000000000000000000,45257.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PTR_5TH_CUS_DSC_SAP,13326.000000000000000000,2307736.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PTR_5TH_CUS_DSC,899.000000000000000000,2317376.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PTR_6TH_CUS_IDT,21015.000000000000000000,45257.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PTR_6TH_CUS_DSC_SAP,13324.000000000000000000,5822693.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PTR_6TH_CUS_DSC,899.000000000000000000,5831073.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PTR_7TH_CUS_IDT,21014.000000000000000000,45257.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PTR_7TH_CUS_DSC_SAP,13323.000000000000000000,2444888.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PTR_7TH_CUS_DSC,899.000000000000000000,2477173.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PTR_8TH_CUS_IDT,1021.000000000000000000,2131248.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_GRP_1ST_COD,9.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_GRP_1ST_DSC,9.000000000000000000,2190625.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_GRP_2ND_COD,7.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_GRP_2ND_DSC,6.000000000000000000,4056566.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_GRP_3RD_COD,10.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_GRP_3RD_DSC,10.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_GRP_4TH_COD,7.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_GRP_4TH_DSC,7.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_GRP_5TH_COD,5.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_GRP_5TH_DSC,5.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_GRP_COD,109.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_GRP_DSC,106.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_GROUP_PROMO,0E-18,7085107.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_PROCE_DSC,12.000000000000000000,5013706.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_TYP_DSC,38.000000000000000000,4998082.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CHL_CSL_DSC,4.000000000000000000,7051475.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CHN_CSL_DSC,739.000000000000000000,4258900.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CHN_FMT_DSL_DSC,130.000000000000000000,7051475.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_CHN_ID,359.000000000000000000,7042569.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_CHN_DSC,370.000000000000000000,7042569.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_SLS_MNG_DSC,0E-18,7085107.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_SLS_TEAM_LDR_DSC,0E-18,7085107.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_X_DOC_FINAL,0E-18,7085107.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_PLT_DEL_EXT,0E-18,7085107.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_TYP_DEL_PNT,0E-18,7085107.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_DIS_EXT,0E-18,7085107.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,ADR_STR_NUM,144692.000000000000000000,710339.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,ADR_STR_ADD_NUM,96233.000000000000000000,21749.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,ADR_RGN_DSC,332463.000000000000000000,10143.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,TEL_NUM,1214873.000000000000000000,522003.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,TEL_NUM2,12382.000000000000000000,1178442.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_DFT_PAY_MET_COD,13.000000000000000000,0E-18,7085107.000000000000000000
TOO_GRANULAR,EML_COD,417486.000000000000000000,5972668.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_FIS_ADR,2888280.000000000000000000,59938.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_CRE_DAT,6801.000000000000000000,0E-18,7085107.000000000000000000
CANAL_CANDIDATE,CUS_END_DAT,0E-18,7085107.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,STAT_COD,6.000000000000000000,0E-18,7085107.000000000000000000
CANAL_CANDIDATE,CUS_CSL_GRP,9.000000000000000000,7060107.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_CHL_DSC_EXT,17.000000000000000000,0E-18,7085107.000000000000000000
CANAL_CANDIDATE,CUS_GRN_CHL_DSC_EXT,3.000000000000000000,0E-18,7085107.000000000000000000
TOO_GRANULAR,CUS_CHN_UNI_DSC_EXT,16049.000000000000000000,2044667.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_CHL_ARE_DSC_EXT,36.000000000000000000,326223.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_SAL_RGN_DSC_EXT,18.000000000000000000,427935.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_SAL_BLK_COD,3.000000000000000000,2224877.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_SAL_ORD_BLK_FLG,6.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_ATT_8TH_COD,4.000000000000000000,2087042.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_CADENA_IDT,24416.000000000000000000,2044487.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_CADENA_DSC,16563.000000000000000000,2146680.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_PRC_PRO_COD,10.000000000000000000,2087042.000000000000000000,7085107.000000000000000000
