mrkt_dsc_shrt,mrkt_dsc_shrt_norm,market_key,canal_std,canal_lvl1,canal_lvl2,agg_level,region_type,region_std,region_detail,is_total_mexico,is_scanning,source_cbu,promoted,confirmation_status,notes
Total Autos Baja California_MT,TOTAL AUTOS BAJA CALIFORNIA_MT,0886d0b8e051a520,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,BAJA CALIFORNIA,BAJA CALIFORNIA,NO,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Piedras Negras,AUTOSERVICIOS SCANNING PIEDRAS NEGRAS,86577f99c3d5287c,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,PIEDRAS NEGRAS,PIEDRAS NEGRAS,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Mexicali,AUTOSERVICIOS SCANNING MEXICALI,062ebb31773749ae,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,MEXICALI,MEXICALI,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Completo Area 4,AUTOSERVICIOS SURT. COMPLETO AREA 4,6fdacf15ffaecefd,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_4,AREA_4,NO,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Completo Area 1,AUTOSERVICIOS SURT. COMPLETO AREA 1,8b1ee5841c802b94,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_1,AREA_1,NO,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Mazatlan,AUTOSERVICIOS SCANNING MAZATLAN,26bc627360f74dc5,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,MAZATLAN,MAZATLAN,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Villahermosa,AUTOSERVICIOS SCANNING VILLAHERMOSA,4cafbddf9df7f403,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,VILLAHERMOSA,VILLAHERMOSA,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Surt. Esencial Area 3,AUTOSERVICIOS SURT. ESENCIAL AREA 3,20136e3538bece20,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_3,AREA_3,NO,NO,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Saltillo,AUTOSERVICIOS SCANNING SALTILLO,34ae9a282f78d252,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,SALTILLO,SALTILLO,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
Autoservicios Scanning Culiacan,AUTOSERVICIOS SCANNING CULIACAN,c6c24d1057f20519,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,CULIACAN,CULIACAN,NO,YES,WATER_ST,YES,AUTO_CLASSIFIED,"Filled from Water Scantrack Nielsen classification rules using established patterns for Scanning, Surtido, Areas, VDM, Cities and Total Mexico."
