RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
PETIZOO,PETIZOO,51,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ARACELI,ARACELI,18,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BELOE,BELOE,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DULAIT,DULAIT,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SORIANO,SORIANO,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SANTA CLARA,SANTA CLARA,200,INP_56985,NIELSEN_EDP,SANTA CLARA,COMPETITOR,CONFIRMED
PINK,PINK,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PROBIOTIC SOUL,PROBIOTIC SOUL,16,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VEGGIE,VEGGIE,15,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SVELTY,SVELTY,44,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ARISBEY,ARISBEY,47,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VILLA ALPINA,VILLA ALPINA,12,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BOIRE,BOIRE,16,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
YOPLI,YOPLI,40,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CARACOL,CARACOL,24,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SABINO,SABINO,24,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LA HACIENDA ANTIGUA,LA HACIENDA ANTIGUA,29,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
YO CRUNCH,YO CRUNCH,15,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CHELSY,CHELSY,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SELLO ROJO,SELLO ROJO,157,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AL DIA,AL DIA,136,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
EL SABINO,EL SABINO,25,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DE LA ABUELA,DE LA ABUELA,25,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BIO 4BALAN-CE,BIO 4BALAN-CE,56,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LALA CULT,LALA CULT,25,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FORAGER,FORAGER,62,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VIDAPLUS,VIDAPLUS,32,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SOL DE MONTERREY,SOL DE MONTERREY,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LAS MORAS,LAS MORAS,12,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
POSTRES GOLDI,POSTRES GOLDI,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
