RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
COCO NIAU,COCO NIAU,12,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
POWERADE,POWERADE,16,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SPARKLETTS,SPARKLETTS,24,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BLANQUITA,BLANQUITA,48,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
JERSEY,JERSEY,24,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SAN JUDAS TADEO,SAN JUDAS TADEO,25,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
NATURES HEART,NATURES HEART,16,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
E-PURITA,E-PURITA,16,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BAVIEN,BAVIEN,16,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LOS ALPES,LOS ALPES,10,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ARCOIRIS,ARCOIRIS,6,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CAPRISUN,CAPRISUN,46,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
OASIS,OASIS,41,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SANTORINI,SANTORINI,34,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
NIAGARA,NIAGARA,27,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PATO PASCUAL,PATO PASCUAL,12,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AURORA,AURORA,25,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SABOREX,SABOREX,6,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VIRY,VIRY,12,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SHANDY,SHANDY,2,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SNAPPLE,SNAPPLE,19,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AGUAFIEL,AGUAFIEL,87,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CHECHI,CHECHI,22,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BIG AQUA VITAL,BIG AQUA VITAL,39,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CLARA,CLARA,19,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AGUAS FRESCAS,AGUAS FRESCAS,10,CSTM_310589,NIELSEN_WATER_RT,AGUAS FRESCAS,DANONE,CONFIRMED
CACTUS,CACTUS,36,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DE LOS ANGELES,DE LOS ANGELES,6,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
GLACIAL,GLACIAL,10,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DELICIAS,DELICIAS,6,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LAS BRISAS,LAS BRISAS,20,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VIKA 8.5,VIKA 8.5,10,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LA JOLLA,LA JOLLA,19,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FUZE,FUZE,6,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BUONA,BUONA,14,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FRUTI QUEKO,FRUTI QUEKO,31,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LYDER,LYDER,6,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
XALLAPAN,XALLAPAN,16,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CLIGHT,CLIGHT,6,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
KOOL-AID,KOOL-AID,19,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VOSS,VOSS,27,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CIEL,CIEL,174,CSTM_310589,NIELSEN_WATER_RT,CIEL,COMPETITOR,CONFIRMED
GUGAR,GUGAR,50,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AGUA AZUL,AGUA AZUL,14,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FARAON,FARAON,16,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
GYM WATER,GYM WATER,21,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ALPINA,ALPINA,9,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SIERRA AZUL,SIERRA AZUL,41,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DELAWARE PUNCH,DELAWARE PUNCH,47,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AL DIA,AL DIA,24,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
COYUCA,COYUCA,14,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
OTHERS MARCA,OTHERS MARCA,3570,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
