raw_variant,brand_original,source_system,source_column,coverage_status,promoted,marca_std,grain_count,action
ISSANA,ISSANA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,30,ACTION_REQUIRED
JERSEY,JERSEY,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,39,ACTION_REQUIRED
KASUL PLUS,KASUL PLUS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,19,ACTION_REQUIRED
KIPURI,KIPURI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
KOOL-AID,KOOL-AID,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,10,ACTION_REQUIRED
KOURELLAS,KOURELLAS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,13,ACTION_REQUIRED
LA ABUELA,LA ABUELA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
LA CASERA,LA CASERA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,16,ACTION_REQUIRED
LA HACIENDA ANTIGUA,LA HACIENDA ANTIGUA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,29,ACTION_REQUIRED
LA LECHERA,LA LECHERA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
LA NENA,LA NENA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,10,ACTION_REQUIRED
LA PASTORA,LA PASTORA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,24,ACTION_REQUIRED
LA PILARICA,LA PILARICA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,20,ACTION_REQUIRED
LA PRIMAVERA,LA PRIMAVERA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,83,ACTION_REQUIRED
LA QUESERA DE SALAMANCA,LA QUESERA DE SALAMANCA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
LA TIA SARA,LA TIA SARA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,43,ACTION_REQUIRED
LACTEOS MOJICA,LACTEOS MOJICA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,19,ACTION_REQUIRED
LACTIGURT,LACTIGURT,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,41,ACTION_REQUIRED
LAKEVIEW,LAKEVIEW,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
LALA CULT,LALA CULT,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,25,ACTION_REQUIRED
LALA SEMILLAS,LALA SEMILLAS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,38,ACTION_REQUIRED
LAS MORAS,LAS MORAS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,12,ACTION_REQUIRED
LEOLI,LEOLI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,35,ACTION_REQUIRED
LEON,LEON,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,46,ACTION_REQUIRED
LEVIA,LEVIA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,84,ACTION_REQUIRED
LICUADO NESTLE,LICUADO NESTLE,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,67,ACTION_REQUIRED
LIFEWAY,LIFEWAY,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,66,ACTION_REQUIRED
LIZETH,LIZETH,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,29,ACTION_REQUIRED
LONCH EXPRESS,LONCH EXPRESS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
LOS 19 HERMANOS,LOS 19 HERMANOS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,121,ACTION_REQUIRED
LOS AZAHARES,LOS AZAHARES,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
