marca_std,raw_variant,brand_original,source_system,source_column,brand_owner,promoted,coverage_status,grain_count,catalog_built_date
DANONE,DANONE CREME,DANONE CREME,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,11,2026-06-29
DANONE,DANAO,DANAO,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,1,2026-06-29
DANONE,DAIRY DANONE MEXICO,DAIRY DANONE MEXICO,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,419,2026-06-29
DANONE,DANONE,Danone,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,6,2026-06-29
DANONE,DANONE YOGHURT,DANONE YOGHURT,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,463,2026-06-29
DANONE,DAIRY DANONE FRANCE,Dairy Danone France,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,1,2026-06-29
DANONE,DANONE FREE,DANONE FREE,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,5,2026-06-29
DANONE,DANONE,DANONE,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,283,2026-06-29
DANONE,DANONE,DANONE,WASTE,MARCA,DANONE,YES,CONFIRMED,1581157,2026-06-29
DANONE,DANONE YOGHURT,DANONE YOGHURT,WASTE,MARCA,DANONE,YES,CONFIRMED,4,2026-06-29
DANONINO,DANONINO,DANONINO,IBP,MARCA,DANONE,YES,CONFIRMED,120264,2026-06-29
DANONINO,DANONINO,DANONINO,MKT_OFF,MARCA,DANONE,YES,CONFIRMED,34705,2026-06-29
DANONINO,DANONINO,DANONINO,MKT_ON,MARCA,DANONE,YES,CONFIRMED,12311,2026-06-29
DANONINO,DANONINO,DANONINO,NIELSEN_EDP,INP_56985,DANONE,YES,CONFIRMED,330,2026-06-29
DANONINO,DANONINO,DANONINO,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,277,2026-06-29
DANONINO,DANONINO,DANONINO,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,136,2026-06-29
DANONINO,DANONINOLIQUIDO,DANONINOLIQUIDO,WASTE,MARCA,DANONE,YES,CONFIRMED,6571,2026-06-29
DANONINO,DANONINO,DANONINO,WASTE,MARCA,DANONE,YES,CONFIRMED,801762,2026-06-29
DANUP,DAN UP,DAN UP,IBP,MARCA,DANONE,YES,CONFIRMED,52296,2026-06-29
DANUP,DANUP,DANUP,MKT_ON,MARCA,DANONE,YES,CONFIRMED,83,2026-06-29
DANUP,DAN UP,DAN UP,NIELSEN_EDP,INP_56985,DANONE,YES,CONFIRMED,174,2026-06-29
DANUP,DAN'UP,DAN'UP,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,184,2026-06-29
DANUP,DANUP,DANUP,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,82,2026-06-29
DANUP,DANUP,DANUP,WASTE,MARCA,DANONE,YES,CONFIRMED,203162,2026-06-29
DANY,DANY,DANY,IBP,MARCA,DANONE,YES,CONFIRMED,72720,2026-06-29
DANY,DANY,DANY,MKT_OFF,MARCA,DANONE,YES,CONFIRMED,551,2026-06-29
