MRKT_DSC_SHRT,NIELSEN_SOURCE_TABLE,REVIEW_STATUS,AGG_LEVEL,CANAL_LVL1,CANAL_LVL2,REGION_TYPE,REGION_STD,REGION_DETAIL,canal_std,region_std
Total Area V_MT,WATER_NIELSEN_RIE,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,AREA,AREA_5,,TOTAL_MERCADO,AREA_5
Autos Scanning Areas 3 + 4 + 5 +6,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_3_6,,AUTOSERVICIO_SCANNING,AREA_3_6
Autoservicios Scanning Valle de Mexico,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,VDM,VDM,,AUTOSERVICIO_SCANNING,VDM
Canal Tradicional _Area 2,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,AREA,AREA_2,,TRADICIONAL,AREA_2
Total Autos Veracruz,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,VERACRUZ,,AUTOSERVICIO,VERACRUZ
Total Autos Cuernavaca,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,CUERNAVACA,,AUTOSERVICIO,CUERNAVACA
C. Proximidad Area 3_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,PROXIMIDAD,AREA,AREA_3,,PROXIMIDAD,AREA_3
Total Autos Poza Rica,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,POZA RICA,,AUTOSERVICIO,POZA RICA
Autoservicios Leon,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,LEON,,AUTOSERVICIO,LEON
Canal Tradicional _Guadalajara,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,GUADALAJARA,,TRADICIONAL,GUADALAJARA
Autoservicios Hermosillo,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,HERMOSILLO,,AUTOSERVICIO,HERMOSILLO
Autoservicios Surtido Completo Area 2_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_COMPLETO,AREA,AREA_2,,AUTOSERVICIO_SURTIDO_COMPLETO,AREA_2
Total _Area 1,EDP_NIELSEN,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,AREA,AREA_1,,TOTAL_MERCADO,AREA_1
Autoservicios Culiacan,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,CULIACAN,,AUTOSERVICIO,CULIACAN
Autoservicios Scanning Cd. Obregon,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,CD OBREGON,,AUTOSERVICIO_SCANNING,CD OBREGON
Autoservicios Scanning Delicias,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,DELICIAS,,AUTOSERVICIO_SCANNING,DELICIAS
Autoservicios Scanning Veracruz,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,VERACRUZ,,AUTOSERVICIO_SCANNING,VERACRUZ
Autoservicios Surt. Completo Area 6,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_COMPLETO,AREA,AREA_6,,AUTOSERVICIO_SURTIDO_COMPLETO,AREA_6
Canal Moderno Area 2.2 Golfo,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,AREA,AREA_2,AREA_2_2_GOLFO,MODERNO_TOTAL,AREA_2
Canal Moderno Area 5,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,AREA,AREA_5,,MODERNO_TOTAL,AREA_5
Canal Tradicional _Area 2.2 Golfo,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,AREA,AREA_2,AREA_2_2_GOLFO,TRADICIONAL,AREA_2
TRADICIONALES GRANDES Y MINISUPERS TOTAL MEXICO,WATER_NIELSEN_RIE,CONFIRMED,TOTAL,TRADICIONAL,TRADICIONAL_GRANDES_MINISUPERS,NATIONAL,TOTAL_MEXICO,,TRADICIONAL_GRANDES_MINISUPERS,TOTAL_MEXICO
Autoservicios Queretaro,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,QUERETARO,,AUTOSERVICIO,QUERETARO
C. Moderno Area 5_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,AREA,AREA_5,,MODERNO_TOTAL,AREA_5
Total Autos Oaxaca,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,OAXACA,,AUTOSERVICIO,OAXACA
Total Autos Puerto Vallarta,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,PUERTO VALLARTA,,AUTOSERVICIO,PUERTO VALLARTA
Autoservicios Scanning Acapulco,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,ACAPULCO,,AUTOSERVICIO_SCANNING,ACAPULCO
Autoservicios Scanning Los Cabos,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,LOS CABOS,,AUTOSERVICIO_SCANNING,LOS CABOS
Canal Moderno Area 3,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,AREA,AREA_3,,MODERNO_TOTAL,AREA_3
MX TOTAL TRADICIONAL,WATER_NIELSEN_RIE,CONFIRMED,TOTAL,TRADICIONAL,TRADICIONAL,NATIONAL,TOTAL_MEXICO,,TRADICIONAL,TOTAL_MEXICO
TRADICIONAL TORREON,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,TORREON,,TRADICIONAL,TORREON
TRADICIONAL VILLAHERMOSA,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,VILLAHERMOSA,,TRADICIONAL,VILLAHERMOSA
Autoservicios Surt. Completo Area 4,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_COMPLETO,AREA,AREA_4,,AUTOSERVICIO_SURTIDO_COMPLETO,AREA_4
Canal Tradicional _Guadalajara Zona 1,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,GUADALAJARA ZONA 1,,TRADICIONAL,GUADALAJARA ZONA 1
Total Autos Tampico,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,TAMPICO,,AUTOSERVICIO,TAMPICO
Autoservicios Scanning Mazatlan,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MAZATLAN,,AUTOSERVICIO_SCANNING,MAZATLAN
Canal Moderno Area 1,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,AREA,AREA_1,,MODERNO_TOTAL,AREA_1
Autoservicios Scanning Villahermosa,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,VILLAHERMOSA,,AUTOSERVICIO_SCANNING,VILLAHERMOSA
Autoservicios Surt. Extendido Area 4,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA,AREA_4,,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA_4
Autoservicios Surt. Extendido Area 6,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA,AREA_6,,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA_6
Canal Moderno Area 2.1 Continental,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,AREA,AREA_2,AREA_2_1_CONTINENTAL,MODERNO_TOTAL,AREA_2
Canal Tradicional _Morelia,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,MORELIA,,TRADICIONAL,MORELIA
Total _Area 5,EDP_NIELSEN,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,AREA,AREA_5,,TOTAL_MERCADO,AREA_5
Grandes Cadenas De Autoservicio Area 3_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,GRANDES_CADENAS_AUTOSERVICIO,AREA,AREA_3,,GRANDES_CADENAS_AUTOSERVICIO,AREA_3
Autoservicios Surt. Esencial Area 2,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_ESENCIAL,AREA,AREA_2,,AUTOSERVICIO_SURTIDO_ESENCIAL,AREA_2
Canal Tradicional _Queretaro,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,QUERETARO,,TRADICIONAL,QUERETARO
Total Autos Playa Del Carmen,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,PLAYA DEL CARMEN,,AUTOSERVICIO,PLAYA DEL CARMEN
Autoservicios Ensenada,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,ENSENADA,,AUTOSERVICIO,ENSENADA
