FORMATO,CADENA,SUBCADENA,CIUDAD,ESTADO,REGION,CLUSTER,STORE_COUNT
SO-CITY CLUB,SORIANA,NA,Chihuahua,Chihuahua,NORTE,BRONCE,1
WM-BOD AURRERA EXPRESS,WALMART,NA,NA,Coahuila,NORTE,BRONCE,2
JUSTO,JUSTO,NA,Cholula,Puebla,NA,BRONCE,1
SO-EXPRESS,SORIANA,SOR-EXPRESS,Tantoyuca,Veracruz,SUR,BRONCE,1
SAMS-CEDIS,SAMS,NA,NA,Jalisco,ND,ND,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Benito Juarez,Distrito Federal,CENTRO,BRONCE,2
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,La Barca,Jalisco,CENTRO,ORO,1
CCF-LA COMER,COMERCIAL CITY FRESKO,CF-FRESKO,Morelia,Michoacan,CENTRO,ORO,1
CM-MEGA,COMERCIAL MEXICANA,NA,Ensenada,Baja California,ND,ND,2
WM-SUPERAMA,WALMART,WM-SUPERCENTER,Celaya,Guanajuato,SUR,BRONCE,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Emiliano Zapata,Morelos,SUR,BRONCE,1
SO-MERCADOS,SORIANA,SOR-MERCADO,Nuevo Casas Grandes,Chihuahua,NORTE,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Catemaco,Veracruz,SUR,ORO,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Chalco,Mexico,CENTRO,PLATA,1
WM-SUPER CENTER,WALMART,WM-SUPERCENTER,NA,Sonora,NORTE,PLATA,1
WM-SUPERAMA,WALMART,WM-WM EXPRESS,alvaro Obregon,Distrito Federal,CENTRO,ORO,2
WM-BOD AURRERA EXPRESS,WALMART,NA,Benito Juarez,Quintana Roo,SUR,BRONCE,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Fraccionamiento Azt,Tamaulipas,NORTE,BRONCE,1
SO-MERCADOS,SORIANA,SOR-MERCADO,Ixtapaluca,Mexico,CENTRO,PLATA,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Coyoacan,Distrito Federal,CENTRO,ORO,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Meoqui,Chihuahua,NORTE,BRONCE,1
SAMS CLUB,SAMS,SAM-SAMS,Fresnillo,Zacatecas,NORTE,SAMS,1
CM-BODEGA,COMERCIAL MEXICANA,NA,Ixmiquilpan,Hidalgo,ND,ND,1
CITY CLUB,CITY CLUB,NA,NA,Aguascalientes,ND,BRONCE,1
SAMS CLUB,SAMS,SAM-SAMS,Zihuatanejo de Azueta,Guerrero,SUR,SAMS,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Atizapan de Zaragoza,Mexico,CENTRO,ORO,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Tlalpan,Distrito Federal,CENTRO,PLATA,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Villa de Etla,Oaxaca,SUR,PLATA,1
WM-SUPERAMA,WALMART,WM-WM EXPRESS,Tlalnepantla de Baz,Mexico,CENTRO,PLATA,1
CH-SUPERCITO,TIENDAS CHEDRAUI,NA,NA,Mexico,NORTE,BRONCE,1
ZORRO,ZORRO,,Venustiano Carranza,Distrito Federal,NA,,1
WM-BOD AURRERA EXPRESS,WALMART,,Aguascalientes,Aguascalientes,CENTRO,,1
SO-HIPERMERCADOS,SORIANA,,Tepic,Nayarit,CENTRO,,1
SO-HIPERMERCADOS,SORIANA,,Yautepec,Morelos,SUR,,1
CALIMAX,CALIMAX,,Ciudad Obregon,Sonora,ND,,1
SAMS CLUB,SAMS,,Reynosa,Tamaulipas,NORTE,,1
SO-CITY CLUB,SORIANA,,Torreon,Coahuila,NORTE,,2
WM-BODEGA AURRERA,WALMART,,Tultepec,Mexico,CENTRO,,1
CH-TIENDAS,TIENDAS CHEDRAUI,,Santa Maria Huatulco,Oaxaca,SUR,,1
SO-HIPERMERCADOS,SORIANA,,Solidaridad,Quintana Roo,SUR,,1
SAMS CLUB,SAMS,,San Juan Bautista Tuxtepec,Oaxaca,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Atitalaquia,Hidalgo,SUR,,1
WM-SUPERAMA,WALMART,,Gustavo a Madero,Distrito Federal,CENTRO,,1
CH-CEDIS,TIENDAS CHEDRAUI,NA,NA,Mexico,CENTRO,BRONCE,1
WM-BODEGA AURRERA,WALMART,NA,Culiacan,Sinaloa,NORTE,BRONCE,1
CCF-CITY MARKET,COMERCIAL CITY FRESKO,CF-CITY MARKET,Puebla,Puebla,SUR,ORO,1
COSTCO,COSTCO,,Hermosillo,Sonora,NORTE,,1
SO-MERCADOS,SORIANA,,Toluca,Mexico,CENTRO,,1
WM-BODEGA AURRERA,WALMART,,NA,Jalisco,CENTRO,,2
WM-BOD AURRERA EXPRESS,WALMART,,Silao,Guanajuato,NORTE,,1
WM-BOD AURRERA EXPRESS,WALMART,,Tamaulipas,Tamaulipas,NORTE,,1
SO-CITY CLUB,SORIANA,,San Nicolas De Los Garza,Nuevo Leon,NORTE,,1
SO-HIPERMERCADOS,SORIANA,,Fresnillo,Zacatecas,NORTE,,1
WM-MI BODEGA AURRERA,WALMART,,NA,Sinaloa,NORTE,,1
SO-HIPERMERCADOS,SORIANA,,Nogales,Sonora,NORTE,,1
CM-MEGA,COMERCIAL MEXICANA,,Corregidora,Queretaro,NA,,1
WM-CEDIS,WALMART,,Cuautitlan Izcalli,Mexico,NA,,1
CL-FIESTA,CASALEY,,Durango,Durango,NORTE,,1
WM-MI BODEGA AURRERA,WALMART,,Coyuca de Benitez,Guerrero,SUR,,1
CL-EXPRESS,CASALEY,,Tepatitlan de Morelos,Jalisco,NORTE,,1
CM-COMERCIAL MEXICANA,COMERCIAL MEXICANA,,San Andres Cholula,Puebla,NA,,1
WM-MI BODEGA AURRERA,WALMART,,Axochiapan,Morelos,SUR,,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Zihuatanejo de Azueta,Guerrero,SUR,PLATA,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Xochitepec,Morelos,SUR,PLATA,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Cd Benito Juarez,Nuevo Leon,ND,BRONCE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Tultepec,Mexico,CENTRO,ORO,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Tepeaca,Puebla,SUR,ORO,1
SAMS CLUB,SAMS,SAM-SAMS,Boca del Rio,Veracruz,SUR,SAMS,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Juventino Rosas Sur,Guanajuato,SUR,PLATA,1
CALIMAX,CALIMAX,NA,Tijuana,Baja California,ND,BRONCE,1
OXXO,OXXO,OXXO,Mexico Reforma,Distrito Federal,NA,SIN CLUSTER,1
SAMS CLUB,SAMS,SAM-SAMS,Tapachula,Chiapas,SUR,SAMS,1
CL-EXPRESS,CASALEY,NA,Culiacan,Sinaloa,ND,ND,1
SO-EXPRESS,SORIANA,SOR-EXPRESS,Comalcalco,Tabasco,SUR,BRONCE,1
WM-BOD AURRERA EXPRESS,WALMART,NA,Celaya,Guanajuato,ND,BRONCE,2
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Caborca,Sonora,NORTE,ORO,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Ocozocoautla de Espinosa,Chiapas,SUR,PLATA,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Banderilla,Veracruz,SUR,BRONCE,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,San Luis Potosi,San Luis Potosi,NORTE,BRONCE,1
CL-EXPRESS,CASALEY,NA,Cd Obregon,Sonora,NORTE,BRONCE,1
SO-MERCADOS,SORIANA,SOR-MERCADO,Saltillo,Coahuila,NORTE,PLATA,1
WM-SUPER CENTER,WALMART,NA,NA,Mexico,NA,NA,1
WM-SUPERAMA,WALMART,WM-WM EXPRESS,Alvaro Obregon,Distrito Federal,CENTRO,ORO,1
HEB-ECOMMERCE,HEB,NA,Leon,Guanajuato,ND,ND,1
CH-SUPERCHE,TIENDAS CHEDRAUI,,Escarcega,Campeche,SUR,,1
SO-MERCADOS,SORIANA,,Guadalupe,Nuevo Leon,NORTE,,1
CH-TIENDAS,TIENDAS CHEDRAUI,,Martinez de la Torre,Veracruz,SUR,,1
CH-SUPERCHE,TIENDAS CHEDRAUI,,Panuco,Veracruz,NORTE,,1
SO-CEDIS,SORIANA,,NA,Mexico,CENTRO,,1
SAMS CLUB,SAMS,,Cordoba,Veracruz,SUR,,1
SO-EXPRESS,SORIANA,,Catemaco,Veracruz,SUR,,1
WM-SUPER CENTER,WALMART,,Tecate Garita,Baja California,NORTE,,1
WM-MI BODEGA AURRERA,WALMART,,Calpulalpan,Tlaxcala,SUR,,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Tapachula,Chiapas,SUR,BRONCE,1
CM-MEGA,COMERCIAL MEXICANA,NA,Xalapa,Veracruz,ND,ND,1
CH-SELECTO,TIENDAS CHEDRAUI,CH-SELECTO,Benito Juarez,Distrito Federal,CENTRO,DIAMANTE,1
CL-FIESTA,CASALEY,NA,Ciudad de Los Mochis,Sinaloa,ND,ND,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,NA,Guanajuato,CENTRO,BRONCE,1
OXXO,OXXO,NA,NA,Morelos,NA,NA,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Cadereyta de Montes,Queretaro,SUR,ORO,1
SO-HIPERMERCADOS,SORIANA,SOR-MEGA,Merida,Yucatan,SUR,PLATA,1
CH-TIENDAS,TIENDAS CHEDRAUI,CH-CHEDRAUI,Gustavo A. Madero,Distrito Federal,CENTRO,PLATA,1
CCF-CITY MARKET,COMERCIAL CITY FRESKO,CF-CITY MARKET,Metepec,Mexico,CENTRO,ORO,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Tempoal,Veracruz,SUR,BRONCE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Yauhquemehcan,Tlaxcala,SUR,ORO,1
SO-SUPER,SORIANA,SOR-SUPER,Cozumel,Quintana Roo,SUR,PLATA,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Coscomatepec,Veracruz,SUR,PLATA,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Motul,Yucatan,SUR,ORO,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Las Choapas,Veracruz,SUR,PLATA,1
CH-TIENDAS,TIENDAS CHEDRAUI,CH-CHEDRAUI,Atizapan de Zaragoza,Mexico,CENTRO,ORO,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Cerritos,San Luis Potosi,NORTE,PLATA,1
HEB-ECOMMERCE,HEB,NA,NA,Aguascalientes,ND,ND,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Vinedos Del Sur,Aguascalientes,NORTE,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Acatlan,Puebla,SUR,ORO,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Huejotzingo,Puebla,SUR,ORO,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Jacona,Michoacan,CENTRO,PLATA,1
CL-SUPER,CASALEY,CL-CASA LEY,Puerto Penasco,Sonora,NORTE,PLATA,1
WM-SUPER CENTER,WALMART,NA,NA,San Luis Potosi,NORTE,APERTURA,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Tixkokob,Yucatan,SUR,PLATA,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Calkini,Campeche,SUR,ORO,1
OXXO,OXXO,NA,Comalcalco,Tabasco,ND,ND,1
SO-MERCADOS,SORIANA,SOR-MEGA,Teoloyucan,Mexico,CENTRO,PLATA,1
CH-SUPERCITO,TIENDAS CHEDRAUI,CH-SUPERCHE,IZTAPALAPA,Distrito Federal,CENTRO,BRONCE,2
ZORRO,ZORRO,NA,NA,Michoacan,ND,ND,1
WM-SUPER CENTER,WALMART,WM-SUPERCENTER,Apodaca Norte,Nuevo Leon,NORTE,ORO,1
OXXO,OXXO,NA,NA,Chihuahua,NA,NA,1
CCF-CITY MARKET,COMERCIAL CITY FRESKO,NA,NA,Baja California Sur,NORTE,BRONCE,1
SO-MERCADOS,SORIANA,,Oluta,Veracruz,SUR,,1
WM-BOD AURRERA EXPRESS,WALMART,,Morelia,Michoacan,NA,,1
ZORRO,ZORRO,,Leon,Guanajuato,NA,,1
SO-MERCADOS,SORIANA,,Salina Cruz,Oaxaca,SUR,,1
SAMS-CEDIS,SAMS,,Tepeji del Rio de Ocampo,Hidalgo,SUR,,1
SO-HIPERMERCADOS,SORIANA,,Gustavo A. Madero,Distrito Federal,CENTRO,,2
WM-BODEGA AURRERA,WALMART,,Cd Mendoza,Veracruz,SUR,,1
WM-BODEGA AURRERA,WALMART,,Acayucan,Veracruz,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,NA,Oaxaca,NA,,1
SO-CITY CLUB,SORIANA,,Piedras Negras,Coahuila,NORTE,,1
WM-MI BODEGA AURRERA,WALMART,,Arcos Tlachicuca,Puebla,SUR,,1
WM-CEDIS,WALMART,,Tepeji del Rio de Ocampo,Hidalgo,SUR,,1
WM-SUPER CENTER,WALMART,,Juriquilla,Queretaro,SUR,,1
CALIMAX,CALIMAX,,NA,NA,0,,1
SO-CITY CLUB,SORIANA,,Culiacan,Sinaloa,NORTE,,1
7E-CARRETERA,7ELEVEN,,NA,Desconocido,ND,,1
WM-BODEGA AURRERA,WALMART,,NA,Hidalgo,SUR,,1
CH-TIENDAS,TIENDAS CHEDRAUI,,Zihuatanejo,Guerrero,SUR,,1
CH-SUPERCITO,TIENDAS CHEDRAUI,,Naucalpan de Juarez,Mexico,CENTRO,,1
WM-BOD AURRERA EXPRESS,WALMART,,NA,Yucatan,NA,,1
SO-EXPRESS,SORIANA,,Zacapu,Michoacan,CENTRO,,1
WM-SUPER CENTER,WALMART,,Cozumel,Quintana Roo,SUR,,1
SAMS CLUB,SAMS,,Tampico,Tamaulipas,NORTE,,1
CL-EXPRESS,CASALEY,,Comondu,Baja California Sur,NORTE,,1
SO-SUPER,SORIANA,,Cuautitlan Izcalli,Mexico,CENTRO,,1
WM-MI BODEGA AURRERA,WALMART,,Valparaiso,Zacatecas,NORTE,,1
CH-SUPERCHE,TIENDAS CHEDRAUI,,NA,Hidalgo,SUR,,1
WM-BODEGA AURRERA,WALMART,,Uman,Yucatan,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Naranjos Amatlan,Veracruz,SUR,,1
HEB-CEDIS,HEB,,Monterrey,Nuevo Leon,NA,,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Tultitlan,Mexico,CENTRO,PLATA,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Mezquital,Nuevo Leon,NORTE,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Los Reyes,Michoacan,CENTRO,BRONCE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Zinacantepec,Mexico,CENTRO,DIAMANTE,1
CM-MEGA,COMERCIAL MEXICANA,NA,Puerto Vallarta,Jalisco,ND,ND,1
SO-MERCADOS,SORIANA,,San Francisco del Rincon,Guanajuato,NORTE,,1
WM-MI BODEGA AURRERA,WALMART,,NA,Jalisco,0,,1
CCF-CITY MARKET,COMERCIAL CITY FRESKO,,NA,Jalisco,CENTRO,,1
WM-MI BODEGA AURRERA,WALMART,,Frontera Comalapa,Chiapas,SUR,,1
SO-MERCADOS,SORIANA,,Zapopan,Jalisco,CENTRO,,1
SO-EXPRESS,SORIANA,,Tapachula,Chiapas,SUR,,1
WM-SUPER CENTER,WALMART,,Zumpango,Mexico,CENTRO,,1
WM-MI BODEGA AURRERA,WALMART,,Salinas Norte,San Luis Potosi,NORTE,,1
CL-EXPRESS,CASALEY,,Cananea,Sonora,NORTE,,1
HEB-MI TIENDA,HEB,,Rio Bravo,Tamaulipas,NORTE,,1
OXXO,OXXO,OXXO,Saltillo,Tamaulipas,NA,BRONCE,1
FU-AL SUPER STORE,FUTURAMA,FUT-AL SUPER,Lerdo,Durango,NORTE,PLATA,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Axtla de Terrazas,San Luis Potosi,NORTE,PLATA,1
SAMS CLUB,SAMS,SAM-SAMS,Tehuacan,Puebla,SUR,SAMS,1
SO-HIPERMERCADOS,SORIANA,NA,NA,Baja California,ND,ND,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Paseo El Laurel,Quintana Roo,SUR,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,NA,NA,Chiapas,ND,ND,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Celaya,Guanajuato,SUR,PLATA,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Ecatepec de Morelos,Mexico,CENTRO,ORO,1
CL-EXPRESS,CASALEY,NA,Ocotlan,Jalisco,ND,ND,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Monte Verde Ags,Aguascalientes,NORTE,BRONCE,1
SO-SUPER,SORIANA,SOR-SUPER,Naucalpan de Juarez,Mexico,CENTRO,BRONCE,1
CM-MEGA,COMERCIAL MEXICANA,NA,Centro,Tabasco,ND,ND,1
OXXO,OXXO,OXXO,Mexico Ajusco,Distrito Federal,NA,SIN CLUSTER,1
CH-SUPERCITO,TIENDAS CHEDRAUI,CH-SUPERCHE,La Magdalena Contreras,Distrito Federal,CENTRO,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Rio Grande,Zacatecas,NORTE,ORO,1
CH-TIENDAS,TIENDAS CHEDRAUI,CH-CHEDRAUI,Coyoacan,Distrito Federal,CENTRO,DIAMANTE,1
CH-SUPERCITO,TIENDAS CHEDRAUI,CH-SUPERCITO,Naucalpan,Mexico,CENTRO,BRONCE,1
SO-HIPERMERCADOS,SORIANA,SOR-SUPER,Zapopan,Jalisco,CENTRO,PLATA,1
ZORRO,ZORRO,NA,Huehuetoca,Mexico,NA,SIN CLUSTER,1
SAMS CLUB,SAMS,SAM-SAMS,Tula de Allende,Hidalgo,SUR,BRONCE,1
CCF-FRESKO,COMERCIAL CITY FRESKO,CF-FRESKO,Zapopan,Jalisco,CENTRO,ORO,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Cueramaro,Guanajuato,SUR,ORO,1
CH-SUPERCITO,TIENDAS CHEDRAUI,CH-SUPERCHE,Gustavo A Madero,Distrito Federal,ND,BRONCE,1
ZORRO,ZORRO,NA,Azcapotzalco,Distrito Federal,NA,SIN CLUSTER,1
ZORRO,ZORRO,NA,Guadalajara,Jalisco,NA,BRONCE,1
ZORRO,ZORRO,NA,Chalco,Mexico,NA,BRONCE,1
SO-MERCADOS,SORIANA,SOR-MERCADO,Navojoa,Sonora,NORTE,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Guachochi,Chihuahua,NORTE,BRONCE,1
SO-CEDIS,SORIANA,SOR-CEDIS,NA,Mexico,CENTRO,BRONCE,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Miguel Hidalgo,Distrito Federal,CENTRO,DIAMANTE,1
SO-EXPRESS,SORIANA,SOR-EXPRESS,Huimanguillo,Tabasco,SUR,BRONCE,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Guadalajara,Jalisco,CENTRO,PLATA,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Heroica Ciudad de Huajuapan de Leon,Oaxaca,SUR,DIAMANTE,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Zihuatanejo de Azueta,Guerrero,SUR,ORO,1
WM-SUPERAMA,WALMART,WM-BAE,alvaro Obregon,Distrito Federal,CENTRO,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Charcas Este,San Luis Potosi,NORTE,PLATA,1
CCF-SUMESA,COMERCIAL CITY FRESKO,CF-SUMESA,Alvaro Obregon,Distrito Federal,CENTRO,PLATA,1
CH-TIENDAS,TIENDAS CHEDRAUI,NA,Reynosa,Tamaulipas,ND,ND,1
FU-ALSUPER,FUTURAMA,NA,Saltillo,Coahuila,ND,BRONCE,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,CUAUTLA,Morelos,SUR,BRONCE,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Reynosa,Tamaulipas,NORTE,DIAMANTE,1
CH-TIENDAS,TIENDAS CHEDRAUI,CH-CHEDRAUI,Tejeria,Veracruz,SUR,DIAMANTE,1
SAMS CLUB,SAMS,SAM-SAMS,Tepic,Nayarit,CENTRO,SAMS,1
SO-CITY CLUB,SORIANA,NA,Monclova,Coahuila,NORTE,BRONCE,1
WM-BODEGA AURRERA,WALMART,NA,Juarez,Nuevo Leon,NORTE,BRONCE,1
SO-EXPRESS,SORIANA,SOR-EXPRESS,Motul,Yucatan,SUR,BRONCE,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Santa Lucia,Nuevo Leon,NORTE,BRONCE,1
SO-EXPRESS,SORIANA,,Hecelchakan,Campeche,SUR,,1
SO-EXPRESS,SORIANA,,Jalapa,Tabasco,SUR,,1
COSTCO-ECOMMERCE,COSTCO,,NA,Desconocido,0,,1
WM-MI BODEGA AURRERA,WALMART,,Tixtla de Guerrero,Guerrero,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Tacambaro,Michoacan,CENTRO,,1
WM-BOD AURRERA EXPRESS,WALMART,,Desconocido,Jalisco,CENTRO,,1
SO-EXPRESS,SORIANA,,Yurecuaro,Michoacan,SUR,,1
SO-HIPERMERCADOS,SORIANA,,Playa Del Carmen,Quintana Roo,SUR,,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Texcoco,Mexico,CENTRO,BRONCE,1
CH-SUPERCITO,TIENDAS CHEDRAUI,NA,Tlaxcala,Tlaxcala,CENTRO,BRONCE,1
CH-SUPERCHE,TIENDAS CHEDRAUI,NA,NA,Quintana Roo,SUR,BRONCE,1
WM-SUPER CENTER,WALMART,,NA,Queretaro,0,,1
WM-MI BODEGA AURRERA,WALMART,,Soto La Marina,Tamaulipas,NORTE,,1
WM-SUPER CENTER,WALMART,,Ahome,Sinaloa,NORTE,,2
SO-CITY CLUB,SORIANA,,Tampico,Tamaulipas,NORTE,,1
WM-BODEGA AURRERA,WALMART,,Jalpa de Mendez,Tabasco,SUR,,1
CM-MEGA,COMERCIAL MEXICANA,,Veracruz,Veracruz,NA,,2
SO-CITY CLUB,SORIANA,,Puebla,Puebla,SUR,,1
CM-COMERCIAL MEXICANA,COMERCIAL MEXICANA,,Puebla,Puebla,NA,,2
FU-ALSUPER,FUTURAMA,,Meoqui,Chihuahua,NORTE,,1
7E-CARRETERA,7ELEVEN,,Hidalgo,Michoacan,NA,,1
7E-7ELEVEN,7ELEVEN,,NA,Mexico,ND,,1
WM-BODEGA AURRERA,WALMART,,Xochimilco,Distrito Federal,CENTRO,,1
SO-EXPRESS,SORIANA,,Jerez,Zacatecas,NORTE,,1
WM-SUPERAMA,WALMART,,Acapulco de Juarez,Guerrero,SUR,,1
CCF-LA COMER,COMERCIAL CITY FRESKO,,Cuauhtemoc,Distrito Federal,CENTRO,,1
CCF-LA COMER,COMERCIAL CITY FRESKO,,San Miguel de Allende,Guanajuato,SUR,,1
CH-SUPERCHE,TIENDAS CHEDRAUI,,Progreso,Yucatan,SUR,,1
SO-SUPER,SORIANA,SOR-SUPER,Tlalpan,Distrito Federal,CENTRO,PLATA,1
WM-SUPER CENTER,WALMART,WM-SUPERCENTER,Victoria,Tamaulipas,NORTE,PLATA,1
HEB-CEDIS,HEB,NA,NA,Desconocido,ND,ND,1
CH-SUPERCITO,TIENDAS CHEDRAUI,NA,Gustavo A. Madero,Distrito Federal,CENTRO,BRONCE,1
CCF-LA COMER,COMERCIAL CITY FRESKO,CF-COMERCIAL MEXICANA,Tlalpan,Distrito Federal,CENTRO,PLATA,1
CL-EXPRESS,CASALEY,CL-EXPRESS,Cd Obregon,Sonora,NORTE,BRONCE,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Atlixco,Puebla,SUR,BRONCE,1
SO-CEDIS,SORIANA,NA,Tijuana,Baja California,NA,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Cuautepec de Hinojosa,Hidalgo,SUR,PLATA,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Huauchinango,Puebla,SUR,DIAMANTE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Zapopan,Jalisco,CENTRO,DIAMANTE,1
CH-SUPERCHE,TIENDAS CHEDRAUI,CH-SUPERCITO,Venustiano Carranza,Distrito Federal,CENTRO,ORO,1
SO-SUPER CITY,SORIANA,SOR-CITY CLUB,Gustavo A. Madero,Distrito Federal,CENTRO,BRONCE,1
CH-SELECTO,TIENDAS CHEDRAUI,CH-CHEDRAUI,Tuxtla Gutierrez,Chiapas,SUR,DIAMANTE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Arriaga,Chiapas,SUR,ORO,1
CL-FIESTA,CASALEY,CL-CASA LEY,Navojoa,Sonora,NORTE,BRONCE,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Pesqueria Centro,Nuevo Leon,NORTE,BRONCE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Comitan de Dominguez,Chiapas,SUR,ORO,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Monclova,Coahuila,NORTE,PLATA,1
COSTCO,COSTCO,,Los Cabos,Baja California Sur,NORTE,,1
CCF-LA COMER,COMERCIAL CITY FRESKO,,Irapuato,Guanajuato,SUR,,1
WM-SUPER CENTER,WALMART,,Tlajomulco de Zuniga,Jalisco,CENTRO,,1
WM-BOD AURRERA EXPRESS,WALMART,,Tultepec,Mexico,CENTRO,,2
FU-FRESH MARKET,FUTURAMA,,Saltillo,Coahuila,NORTE,,1
WM-BODEGA AURRERA,WALMART,,Camargo,Chihuahua,NORTE,,1
CL-CEDIS,CASALEY,,Hermosillo,Sonora,NORTE,,1
CCF-SUMESA,COMERCIAL CITY FRESKO,,Iztacalco,Distrito Federal,CENTRO,,1
WM-MI BODEGA AURRERA,WALMART,,Cueramaro,Guanajuato,SUR,,1
JUSTO,JUSTO,NA,Atizapan,Mexico,NA,BRONCE,1
SO-EXPRESS,SORIANA,SOR-EXPRESS,Jimenez,Chihuahua,NORTE,BRONCE,1
SO-CEDIS,SORIANA,SOR-CEDIS,Pedro Escobedo,Queretaro,SUR,BRONCE,1
CM-BODEGA,COMERCIAL MEXICANA,NA,Zumpango,Mexico,ND,ND,1
FU-ALSUPER STORE PLUS,FUTURAMA,FUT-AL SUPER,Chihuahua,Chihuahua,NORTE,PLATA,1
SAMS-CEDIS,SAMS,NA,Villahermosa,Tabasco,ND,ND,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Ocosingo,Chiapas,SUR,ORO,1
WM-SUPER CENTER,WALMART,NA,NA,Mexico,ND,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,NA,NA,Tabasco,SUR,BRONCE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Macuspana,Tabasco,SUR,ORO,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,San Francisco del Rincon,Guanajuato,NORTE,DIAMANTE,1
