FORMATO,CADENA,SUBCADENA,CIUDAD,ESTADO,REGION,CLUSTER,STORE_COUNT
CCF-SUMESA,COMERCIAL CITY FRESKO,,Atizapan de Zaragoza,Mexico,CENTRO,,1
SO-SUPER,SORIANA,,Guadalupe,Zacatecas,NORTE,,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,San Andres Cholula,Puebla,SUR,BRONCE,1
WM-SUPER CENTER,WALMART,WM-WEB,Azcapotzalco,Distrito Federal,CENTRO,BRONCE,1
SAMS CLUB,SAMS,,Zacatecas,Zacatecas,NORTE,,1
7E-7ELEVEN,7ELEVEN,,Guadalajara,Jalisco,NA,,1
WM-MI BODEGA AURRERA,WALMART,,Gabriel Zamora,Michoacan,CENTRO,,1
WM-BOD AURRERA EXPRESS,WALMART,,Punta Verde,Morelos,SUR,,1
CH-TIENDAS,TIENDAS CHEDRAUI,,Villahermosa,Tabasco,SUR,,1
CH-SUPERCITO,TIENDAS CHEDRAUI,,Tlaxcala,Tlaxcala,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Tapanatepec,Oaxaca,SUR,,1
WM-BODEGA AURRERA,WALMART,,Villa de Alvarez,Colima,CENTRO,,1
SAMS CLUB,SAMS,,Fresnillo,Zacatecas,NORTE,,1
CH-SELECTO,TIENDAS CHEDRAUI,,Merida,Yucatan,0,,1
WM-MI BODEGA AURRERA,WALMART,,Huehuetan,Chiapas,SUR,,1
SO-SUPER,SORIANA,,Ojinaga,Chihuahua,NORTE,,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Mineral de la Reforma,Hidalgo,SUR,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Nuevo Ideal,Durango,NORTE,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Camargo,Tamaulipas,NORTE,BRONCE,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Playa del Carmen,Quintana Roo,SUR,ORO,1
WM-MEDIMART,WALMART,NA,Benito Juarez,Distrito Federal,ND,ND,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Centro,Tabasco,SUR,ORO,1
CH-TIENDAS,TIENDAS CHEDRAUI,CH-CHEDRAUI,Iztapalapa,Distrito Federal,CENTRO,DIAMANTE,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,La Paz,Mexico,CENTRO,PLATA,1
SO-SUPER,SORIANA,SOR-SUPER,Juarez,Chihuahua,NORTE,PLATA,1
WM-BOD AURRERA EXPRESS,WALMART,,NA,Veracruz,0,,2
CH-SELECTO,TIENDAS CHEDRAUI,,Boca del Rio,Veracruz,SUR,,1
WM-BODEGA AURRERA,WALMART,,NA,Oaxaca,SUR,,1
CCF-LA COMER,COMERCIAL CITY FRESKO,,Guanajuato,Guanajuato,NORTE,,1
WM-SUPER CENTER,WALMART,,Alvaro Obregon,Distrito Federal,CENTRO,,2
SO-HIPERMERCADOS,SORIANA,,Playa del Carmen,Quintana Roo,0,,1
SAMS CLUB,SAMS,,Ensenada,Baja California,NORTE,,1
WM-MI BODEGA AURRERA,WALMART,,Allende,Nuevo Leon,NORTE,,1
SAMS CLUB,SAMS,,Ahome,Sinaloa,NORTE,,1
SO-HIPERMERCADOS,SORIANA,,Manzanillo,Colima,CENTRO,,1
WM-BODEGA AURRERA,WALMART,,Comondu,Baja California Sur,NORTE,,1
WM-SUPERAMA,WALMART,,Corregidora,Queretaro,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Yautepec,Morelos,SUR,,1
CH-TIENDAS,TIENDAS CHEDRAUI,,La Antigua,Veracruz,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Atana Lindavista,Distrito Federal,CENTRO,,1
WM-BODEGA AURRERA,WALMART,,Emiliano Zapata,Morelos,SUR,,1
WM-BODEGA AURRERA,WALMART,,Tulancingo de Bravo,Hidalgo,SUR,,1
CL-FIESTA,CASALEY,,Agua Prieta,Sonora,NORTE,,1
FU-ALSUPER,FUTURAMA,,NA,Coahuila,0,,1
SO-MERCADOS,SORIANA,,Actopan,Hidalgo,SUR,,1
WM-BOD AURRERA EXPRESS,WALMART,,Paseo El Laurel,Quintana Roo,SUR,,1
SO-EXPRESS,SORIANA,,Jimenez,Chihuahua,NORTE,,1
CL-SUPER,CASALEY,NA,La Paz,Baja California Sur,NA,NA,1
WM-SUPER CENTER,WALMART,WM-SUPERCENTER,Zamora,Michoacan,CENTRO,DIAMANTE,1
SO-HIPERMERCADOS,SORIANA,SOR-MEGA,Veracruz,Veracruz,SUR,PLATA,1
CL-ALAMODA,CASALEY,NA,Culiacan,Sinaloa,ND,ND,1
WM-MI BODEGA AURRERA,WALMART,,Arcelia,Guerrero,SUR,,1
SAMS CLUB,SAMS,,Matamoros,Tamaulipas,NORTE,,1
OXXO,OXXO,,Mexico Satelite,Distrito Federal,NA,,1
SO-MERCADOS,SORIANA,,Patzcuaro,Michoacan,CENTRO,,1
CM-BODEGA,COMERCIAL MEXICANA,,Xochimilco,Distrito Federal,NA,,1
SAMS CLUB,SAMS,,Nogales,Sonora,NORTE,,1
